"periodo_evasao";"id_aluno";"codigo_curso";"periodo_ingressao";"codigo_ingressao";"codigo_evasao";"nota_ingressao";"naturalidade";"estado";"tipo_ensino";"cotista";"ano_nascimento";"genero";"matricula"
1989.1;66150485404;15127100;1982.1;1;1;648;NA;NA;NA;NA;1963;"M";182110244
1989.1;41861884400;11124100;1984.1;1;1;576;NA;NA;NA;NA;1965;"M";184110373
1989.1;27633519568;41410100;1985.1;1;1;721;NA;NA;NA;NA;1964;"M";485120078
1989.1;53634691468;21312110;1986.1;1;1;NA;NA;NA;NA;NA;1967;"F";286130462
1989.1;28860764491;15127100;1980.1;1;4;587;NA;NA;NA;NA;1962;"M";180110189
1989.1;26265940406;15127100;1980.1;1;4;604;NA;NA;NA;NA;1961;"M";180110170
1989.1;44285639491;14123100;1984.2;1;4;645;"CAMPINA GRANDE";"PB";NA;NA;1966;"M";184210162
1989.2;13197533453;15108100;1976.1;1;1;489;NA;NA;NA;NA;1947;"M";176110056
1989.2;23799307400;13305110;1981.1;1;1;527;"ALAGOA GRANDE";"PB";NA;NA;1960;"F";181130193
1989.2;48695114449;15127100;1982.1;1;1;576;NA;NA;NA;NA;1962;"M";182110227
1989.2;16152506468;21309210;1983.2;1;1;494;NA;NA;NA;NA;1959;"M";283230088
1989.2;33801479404;13304100;1984.1;2;1;410;NA;NA;NA;NA;1961;"M";184130032
1989.2;21027200397;41410100;1985.2;1;1;481;NA;NA;NA;NA;1964;"M";485220076
1989.2;64635007472;13301100;1986.2;1;1;498;NA;NA;NA;NA;1964;"F";186230140
1989.2;28851986487;11124100;1980.2;1;4;570;NA;NA;NA;NA;1963;"M";180210019
1989.2;41452372420;15122100;1985.2;1;4;475;NA;NA;NA;NA;1964;"M";185210019
1990.1;25074415420;13312110;1982.1;1;1;582;NA;NA;NA;NA;1959;"F";182130216
1990.1;40901866415;11124100;1983.2;1;1;553;NA;NA;NA;NA;1900;"M";183210406
1990.1;48635367472;12205100;1984.2;1;1;659;NA;NA;NA;NA;1900;"M";184220135
1990.1;27256634404;13304100;1980.2;1;4;564;NA;NA;NA;NA;1961;"F";180230225
1990.1;44920636415;15122100;1983.2;1;4;578;NA;NA;NA;NA;1965;"F";183210325
1990.1;48633992434;15122100;1984.2;1;4;552;NA;NA;NA;NA;1900;"M";184210092
1990.1;46711449487;41403100;1985.1;1;4;NA;NA;NA;NA;NA;1967;"M";485110445
1990.1;2315528828;11126100;1985.1;1;4;435;NA;NA;NA;NA;1961;"M";185110127
1990.1;46711449487;15122100;1987.2;1;4;521;NA;NA;NA;NA;1967;"M";187210065
1990.2;76876683400;14102100;1979.2;1;1;471;NA;NA;NA;NA;1954;"F";179210024
1990.2;54160014453;11128100;1983.1;1;1;606;NA;NA;NA;NA;1965;"M";183110630
1990.2;46856749449;14123100;1984.1;1;1;750;NA;NA;NA;NA;1966;"M";184110310
1990.2;29137721534;11128100;1985.1;1;1;547;NA;NA;NA;NA;1964;"M";185110295
1990.2;2367430403;13312110;1985.1;1;1;596;NA;NA;NA;NA;1966;"F";185130378
1990.2;25405780391;13304100;1986.1;1;1;550;NA;NA;NA;NA;1966;"F";186130232
1990.2;67639364434;21316210;1987.1;1;1;458;NA;NA;NA;NA;1969;"F";287130217
1990.2;60347295487;21309210;1987.1;1;1;439;NA;NA;NA;NA;1963;"F";287130293
1990.2;46744215434;21316210;1987.1;1;1;545;NA;NA;NA;NA;1966;"F";287130240
1990.2;48633992434;15122100;1990.1;1;4;592;NA;NA;NA;NA;1966;"M";190110222
1991.1;23800836491;15122100;1981.2;1;1;580;NA;NA;NA;NA;1960;"M";181210014
1991.1;32501340400;12205100;1985.1;1;1;652;NA;NA;NA;NA;1963;"M";185120171
1991.1;45646546400;12205100;1985.1;1;1;685;NA;NA;NA;NA;1966;"M";185120047
1991.1;39165930568;12205100;1986.1;1;1;657;NA;NA;NA;NA;1968;"M";186120154
1991.1;44148364415;41410100;1986.2;1;1;483;NA;NA;NA;NA;1965;"M";486220188
1991.1;56920520400;41410100;1986.2;1;1;500;NA;NA;NA;NA;1968;"M";486220175
1991.2;41510755420;14123100;1985.1;1;1;606;NA;NA;NA;NA;1964;"M";185110190
1991.2;37386972415;15122100;1985.2;1;1;489;NA;NA;NA;NA;1964;"M";185210009
1991.2;69157790434;13312110;1986.1;1;1;527;NA;NA;NA;NA;1969;"F";186130447
1991.2;78996090468;14102100;1988.1;1;1;635;NA;NA;NA;NA;1970;"F";188110071
1991.2;67608833491;13312110;1988.1;1;1;507;NA;NA;NA;NA;1968;"F";188130291
1991.2;59120550430;13312110;1988.1;1;1;494;NA;NA;NA;NA;1966;"F";188130286
1991.2;41452372420;15122100;1989.2;1;2;NA;NA;NA;NA;NA;1964;"M";189210661
1991.2;28445538420;11126100;1980.1;1;4;515;NA;NA;NA;NA;1954;"M";180110324
1991.2;39751830478;11124100;1986.1;1;4;484;NA;NA;NA;NA;1964;"M";186110336
1991.2;49857444415;15122100;1989.1;1;4;555;NA;NA;NA;NA;1966;"M";189110221
1992.1;32484682466;13301100;1982.1;1;1;582;NA;NA;NA;NA;1961;"F";182130105
1992.1;48695068404;12205100;1984.1;1;1;755;NA;NA;NA;NA;1966;"M";184120143
1992.1;38055651434;12205100;1986.2;1;1;607;NA;NA;NA;NA;1965;"M";186220169
1992.1;91103061453;12205100;1986.2;1;1;632;NA;NA;NA;NA;1969;"F";186220147
1992.1;78989108420;12205100;1986.2;1;1;613;NA;NA;NA;NA;1968;"F";186220160
1992.1;56873492434;12205100;1986.2;1;1;636;NA;NA;NA;NA;1967;"F";186220144
1992.1;51157128491;41410100;1987.2;1;1;482;NA;NA;NA;NA;1965;"F";487220147
1992.1;76004589420;21312110;1989.1;1;1;436;"SOUSA";"PB";NA;NA;1967;"F";289130398
1992.1;16049187487;15122100;1978.2;1;4;508;NA;NA;NA;NA;1956;"M";178210029
1992.1;28856880415;15127100;1981.1;1;4;599;NA;NA;NA;NA;1962;"M";181110121
1992.2;2298767491;15122100;1976.1;2;1;NA;NA;NA;NA;NA;1946;"M";176110219
1992.2;73833592400;13312110;1983.1;1;1;582;"CAMPINA GRANDE";"PB";NA;NA;1964;"F";183130563
1992.2;80612725472;13301100;1986.1;1;1;569;NA;NA;NA;NA;1968;"F";186130138
1992.2;49681583434;12205100;1986.2;1;1;604;NA;NA;NA;NA;1900;"M";186220165
1992.2;69163189453;12205100;1987.1;1;1;655;NA;NA;NA;NA;1970;"F";187120129
1992.2;83909125468;12205100;1987.1;1;1;750;NA;NA;NA;NA;1970;"F";187120122
1992.2;60227265491;13312110;1987.2;6;1;437;NA;NA;NA;NA;1969;"F";187230228
1992.2;52443116387;41410100;1988.1;1;1;527;NA;NA;NA;NA;1966;"F";488120155
1992.2;46939121404;41410100;1988.1;1;1;577;NA;NA;NA;NA;1970;"F";488120139
1992.2;69081026453;14123100;1988.1;1;1;619;NA;NA;NA;NA;1969;"M";188110240
1992.2;87326728453;21309210;1989.1;1;1;NA;NA;NA;NA;NA;1900;"F";289130273
